State,UG1TDiff
Alabama,3.80
Alaska,-25.50
Arizona,37.90
Arkansas,-0.10
California,-3.30
Colorado,-5.90
Connecticut,-3.20
Delaware,-0.30
District of Columbia,4.80
Florida,-1.20
Georgia,-1.30
Hawaii,10.70
Idaho,6.00
Illinois,7.20
Indiana,-3.20
Iowa,-3.40
Kansas,-1.70
Kentucky,1.50
Louisiana,-1.80
Maine,-6.40
Maryland,1.10
Massachusetts,-2.80
Michigan,-6.80
Minnesota,-7.40
Mississippi,-0.40
Missouri,-9.90
Montana,5.40
Nebraska,-0.10
Nevada,-10.60
New Hampshire,17.80
New Jersey,-3.00
New Mexico,8.30
New York,-3.30
North Carolina,-4.60
North Dakota,0.60
Ohio,-6.70
Oklahoma,-5.60
Oregon,9.50
Pennsylvania,-6.60
Rhode Island,1.20
South Carolina,2.90
South Dakota,-0.30
Tennessee,11.40
Texas,7.80
Utah,13.00
Vermont,-0.50
Virginia,2.90
Washington,5.80
West Virginia,-4.80
Wisconsin,-4.20
Wyoming,-10.00
