school,State,Sector,UG_2022,UG_2021,UG_2020,UG_2019,UG_2018
Alabama A & M University,Alabama,Public,5206,5107,5093,5273,5143
University of Alabama at Birmingham,Alabama,Public,13032,13547,13878,13836,13836
Amridge University,Alabama,Private (Not For Profit),228,251,298,365,351
University of Alabama in Huntsville,Alabama,Public,7169,7569,8027,7989,7671
Alabama State University,Alabama,Public,3296,3499,3614,3750,3903
The University of Alabama,Alabama,Public,32458,31685,31670,32795,33028
Athens State University,Alabama,Public,2520,2559,2688,2774,2885
Auburn University at Montgomery,Alabama,Public,3754,4086,4375,4523,4632
Auburn University,Alabama,Public,25379,24931,24505,24594,24628
Birmingham-Southern College,Alabama,Private (Not For Profit),975,1058,1129,1209,1268
South University-Montgomery,Alabama,Private (For Profit),315,341,289,251,321
Faulkner University,Alabama,Private (Not For Profit),1792,1919,2098,2192,2428
Herzing University-Birmingham,Alabama,Private (Not For Profit),570,608,612,571,551
Huntingdon College,Alabama,Private (Not For Profit),812,839,920,1008,1081
Heritage Christian University,Alabama,Private (Not For Profit),82,84,71,59,51
Jacksonville State University,Alabama,Public,8310,8067,7747,7749,7321
University of West Alabama,Alabama,Public,2427,2322,2248,2239,2154
Miles College,Alabama,Private (Not For Profit),1258,1520,1440,1456,1550
University of Mobile,Alabama,Private (Not For Profit),1584,1654,1750,1769,1676
University of Montevallo,Alabama,Public,2172,2215,2228,2236,2281
University of North Alabama,Alabama,Public,7214,6084,5946,6050,6153
Oakwood University,Alabama,Private (Not For Profit),1431,1378,1339,1461,1581
Samford University,Alabama,Private (Not For Profit),3672,3607,3576,3591,3535
Selma University,Alabama,Private (Not For Profit),31,22,,310,304
University of South Alabama,Alabama,Public,8480,8833,9050,9601,10293
Spring Hill College,Alabama,Private (Not For Profit),933,990,1061,1160,1254
Stillman College,Alabama,Private (Not For Profit),744,728,712,861,797
Talladega College,Alabama,Private (Not For Profit),835,1144,1161,1230,1208
Troy University,Alabama,Public,10768,11297,12712,12995,13452
Tuskegee University,Alabama,Private (Not For Profit),2100,2184,2280,2394,2529
United States Sports Academy,Alabama,Private (Not For Profit),108,71,137,232,305
University of Alaska Anchorage,Alaska,Public,9925,10259,11323,12103,13885
Alaska Bible College,Alaska,Private (Not For Profit),39,44,40,40,45
University of Alaska Fairbanks,Alaska,Public,5636,5844,5850,6206,6429
University of Alaska Southeast,Alaska,Public,1724,1757,1805,1886,2010
Alaska Pacific University,Alaska,Private (Not For Profit),490,376,312,337,301
Charter College,Washington,Private (For Profit),2117,2215,2120,2474,2853
Brookline College-Phoenix,Arizona,Private (For Profit),841,1000,1511,1437,1235
Arizona State University Campus Immersion,Arizona,Public,65492,64716,63124,44461,42844
University of Arizona,Arizona,Public,38751,37434,35357,34516,34153
Embry-Riddle Aeronautical University-Prescott,Arizona,Private (Not For Profit),3120,3033,2961,2894,2726
The School of Architecture,Arizona,Private (Not For Profit),0,0,0,0,0
Grand Canyon University,Arizona,Private (For Profit),66769,65870,63752,58997,54139
Dine College,Arizona,Public,1548,1315,1369,1463,1519
Northern Arizona University,Arizona,Public,23204,24162,25228,26511,27072
Ottawa University-Phoenix,Arizona,Private (Not For Profit),,361,396,390,344
Pima Medical Institute-Tucson,Arizona,Private (For Profit),2477,2485,1970,1931,1851
Prescott College,Arizona,Private (Not For Profit),313,388,422,503,456
Arizona Christian University,Arizona,Private (Not For Profit),1082,1053,925,870,776
University of Arkansas at Little Rock,Arkansas,Public,5825,5969,6568,7120,7715
University of Arkansas for Medical Sciences,Arkansas,Public,1299,1084,859,666,606
Arkansas Baptist College,Arkansas,Private (Not For Profit),497,414,468,531,525
Lyon College,Arkansas,Private (Not For Profit),496,579,665,662,655
University of Arkansas,Arkansas,Public,26269,24265,22825,23025,23386
University of Arkansas at Pine Bluff,Arkansas,Public,2182,2484,2507,2382,2473
Arkansas State University,Arkansas,Public,8201,8241,8486,8928,9350
Arkansas Tech University,Arkansas,Public,8722,8901,10110,11015,11151
University of Arkansas at Monticello,Arkansas,Public,2270,2268,2352,2545,2810
University of Central Arkansas,Arkansas,Public,7994,8244,8615,9134,9425
Central Baptist College,Arkansas,Private (Not For Profit),564,622,604,666,732
Crowley's Ridge College,Arkansas,Private (Not For Profit),201,197,192,187,198
Harding University,Arkansas,Private (Not For Profit),3523,3684,3572,3779,3974
Henderson State University,Arkansas,Public,1807,2228,2626,3430,3404
Hendrix College,Arkansas,Private (Not For Profit),1132,1111,1066,1109,1202
John Brown University,Arkansas,Private (Not For Profit),1801,1774,1820,1777,1903
Ouachita Baptist University,Arkansas,Private (Not For Profit),1730,1716,1664,1633,1660
University of the Ozarks,Arkansas,Private (Not For Profit),784,784,836,824,872
Philander Smith College,Arkansas,Private (Not For Profit),769,710,799,996,1000
Williams Baptist University,Arkansas,Private (Not For Profit),562,604,589,526,479
Southern Arkansas University Main Campus,Arkansas,Public,3148,3160,3447,3586,3542
University of Arkansas-Fort Smith,Arkansas,Public,5335,5403,5830,6229,6531
Academy of Art University,California,Private (For Profit),4555,5363,6124,6694,7051
Academy of Chinese Culture and Health Sciences,California,Private (Not For Profit),0,0,0,0,0
Berkeley School of Theology,California,Private (Not For Profit),19,0,0,0,0
American Film Institute Conservatory,California,Private (Not For Profit),0,0,0,0,0
American Conservatory Theater,California,Private (Not For Profit),,11,7,9,11
Antelope Valley Community College District,California,Public,11840,11105,12057,13909,14239
Art Center College of Design,California,Private (Not For Profit),2135,2028,1912,2062,2008
Azusa Pacific University,California,Private (Not For Profit),3348,3939,4498,5136,5657
Bakersfield College,California,Public,26873,24479,24903,26380,24589
Bethesda University,California,Private (Not For Profit),181,264,285,258,213
Biola University,California,Private (Not For Profit),3499,3596,3683,4043,4010
Bryan University,Arizona,Private (For Profit),1767,1361,1350,1115,1076
California Institute of Integral Studies,California,Private (Not For Profit),87,84,98,69,61
California Baptist University,California,Private (Not For Profit),8334,8252,8109,8190,7855
California College of the Arts,California,Private (Not For Profit),1145,1249,1239,1466,1468
University of California-Hastings College of Law,California,Public,0,0,0,0,0
California Institute of Technology,California,Private (Not For Profit),982,987,901,938,948
California Lutheran University,California,Private (Not For Profit),2513,2592,2804,3078,3059
California Polytechnic State University-San Luis Obispo,California,Public,21026,21128,21456,20503,21098
Alliant International University-San Diego,California,Private (For Profit),274,378,431,631,988
California State University-Bakersfield,California,Public,8188,9367,9979,9981,9368
California State University-Stanislaus,California,Public,8926,9198,9903,9723,9293
California State University-San Bernardino,California,Public,17034,16858,17250,18282,17967
California State Polytechnic University-Pomona,California,Public,25181,26974,27912,26454,24934
California State University-Chico,California,Public,12981,14462,15747,16164,16483
California State University-Dominguez Hills,California,Public,13969,15238,16022,15365,13899
California State University-Fresno,California,Public,21354,22187,22704,21541,22125
California State University-Fullerton,California,Public,35432,35600,36975,35335,34860
California State University-East Bay,California,Public,10796,12114,13141,13202,12836
California State University-Long Beach,California,Public,32931,33897,34216,33054,31690
California State University-Los Angeles,California,Public,22737,23536,22832,22797,24223
California State University-Northridge,California,Public,32181,34496,34916,34799,35051
California State University-Sacramento,California,Public,28921,29451,29296,28819,28813
University of California-Berkeley,California,Public,32479,31814,30799,31348,30853
University of California-Davis,California,Public,31532,31657,31162,30982,30718
University of California-Irvine,California,Public,28662,29449,29638,30382,29736
University of California-Los Angeles,California,Public,32423,32122,31636,31543,31577
University of California-Riverside,California,Public,22911,22868,22693,22055,20581
University of California-San Diego,California,Public,33096,33343,31842,30794,30285
University of California-San Francisco,California,Public,0,0,0,0,0
University of California-Santa Barbara,California,Public,23459,23091,23196,23349,23070
University of California-Santa Cruz,California,Public,17502,17864,17207,17517,17792
Sofia University,California,Private (For Profit),11,8,10,9,4
California Christian College,California,Private (Not For Profit),13,14,13,11,13
Haven University,California,Private (Not For Profit),39,35,24,18,
California Institute of the Arts,California,Private (Not For Profit),940,965,762,1021,1010
California State University Maritime Academy,California,Public,808,880,907,911,1017
California Western School of Law,California,Private (Not For Profit),0,0,0,0,0
Casa Loma College-Los Angeles,California,Private (Not For Profit),415,246,164,162,175
Chapman University,California,Private (Not For Profit),7869,7714,7404,7505,7281
Charles R Drew University of Medicine and Science,California,Private (Not For Profit),246,255,241,198,169
Concordia University-Irvine,California,Private (Not For Profit),1699,1584,1704,1738,1788
San Diego Christian College,California,Private (Not For Profit),328,449,464,488,450
Church Divinity School of the Pacific,California,Private (Not For Profit),0,0,0,0,0
Claremont Graduate University,California,Private (Not For Profit),0,0,0,0,0
Claremont McKenna College,California,Private (Not For Profit),1386,1416,1262,1343,1324
University of Silicon Valley,California,Private (For Profit),379,425,514,542,595
Western University of Health Sciences,California,Private (Not For Profit),0,0,0,0,0
